Антибактериальная обработка кондиционера,4580,450,описание,0.20000000000000001
Балансировка колес,4690,390,описание,0.25
Диагностика выхлопной системы автомобиля,2550,180,описание,0.25
Диагностика инжектора,3390₽,330,описание,5.0000000000000003e-002
Диагностика подвески,1460,330,описание,0
Диагностика рулевого редуктора,2930₽,180,описание,0.10000000000000001
Диагностика трансмиссии,2790₽,120,описание,0.20000000000000001
Замена жидкости ГУР,2380,540,описание,0.20000000000000001
Замена заднего сальника АКПП,1510,390,описание,0.25
Замена кулисы АКПП,3250₽,360,описание,0.10000000000000001
Замена лямбда зонда,770,270,описание,5.0000000000000003e-002
Замена масла АКПП,2430,450,описание,0.25
Замена масла в вариаторе,4720,120,описание,5.0000000000000003e-002
Замена масла в МКПП,4490,540,описание,0.20000000000000001
Замена масла заднего редуктора (моста),840,420,описание,0.25
Замена маховика,2400₽,600,описание,0.25
Замена охлаждающей жидкости,1590,210,описание,0
Замена подшипника задней ступицы,1860,270,описание,0.25
Замена подшипника компрессора кондиционера,1110₽,330,описание,0.20000000000000001
Замена подшипника передней ступицы,4020₽,330,описание,0.14999999999999999
Замена ремня кондиционера,4650,480,описание,0
Замена ремня привода ГУР,3350,600,описание,0
Замена рулевой тяги,570,180,описание,0
Замена сальника привода,3820₽,570,описание,0.14999999999999999
Замена свечей,2240,120,описание,0.10000000000000001
Замена сцепления,4320₽,330,описание,0
Замена тормозной жидкости,2200,360,описание,0.10000000000000001
Замена тормозных колодок,4260,480,описание,5.0000000000000003e-002
Замена троса сцепления,4460,480,описание,5.0000000000000003e-002
Замена трубки кондиционера,2810,180,описание,0.14999999999999999
Замена фильтров,530₽,210,описание,0.14999999999999999
Кузовной ремонт,2750,150,описание,5.0000000000000003e-002
Покраска,2370,120,описание,0.14999999999999999
Развал-схождение,3890,180,описание,0
Ремонт автоэлектрики,4230₽,450,описание,0.10000000000000001
Ремонт бензонасоса,500₽,210,описание,0.14999999999999999
Ремонт глушителя,2100,150,описание,0.25
Ремонт двигателя,2470,240,описание,0.25
Ремонт и замена катализатора,500,270,описание,0.25
Ремонт карданного вала,780,210,описание,5.0000000000000003e-002
Ремонт компрессора кондиционера,4760,150,описание,0.25
Ремонт кронштейна глушителя,1410,570,описание,0
Ремонт стартера,2680,480,описание,0
Ремонт сцепления,3290,600,описание,0.25
Снятие/установка форсунок,1470,300,описание,0.25
Установка сигнализации,1760,240,описание,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
